public virtual ListSpeechSynthesisTasksResponse ListSpeechSynthesisTasks(ListSpeechSynthesisTasksRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListSpeechSynthesisTasksRequestMarshaller.Instance;options.ResponseUnmarshaller = ListSpeechSynthesisTasksResponseUnmarshaller.Instance;return Invoke<ListSpeechSynthesisTasksResponse>(request, options);} ||| public ListSpeechSynthesisTasksResult listSpeechSynthesisTasks(ListSpeechSynthesisTasksRequest request) {request = beforeClientExecution(request);return executeListSpeechSynthesisTasks(request);}
public virtual DeleteDeviceResponse DeleteDevice(DeleteDeviceRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteDeviceRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteDeviceResponseUnmarshaller.Instance;return Invoke<DeleteDeviceResponse>(request, options);} ||| public DeleteDeviceResult deleteDevice(DeleteDeviceRequest request) {request = beforeClientExecution(request);return executeDeleteDevice(request);}
public virtual CreateEventBusResponse CreateEventBus(CreateEventBusRequest request){var options = new InvokeOptions();options.RequestMarshaller = CreateEventBusRequestMarshaller.Instance;options.ResponseUnmarshaller = CreateEventBusResponseUnmarshaller.Instance;return Invoke<CreateEventBusResponse>(request, options);} ||| public CreateEventBusResult createEventBus(CreateEventBusRequest request) {request = beforeClientExecution(request);return executeCreateEventBus(request);}
public virtual bool IsEnabled(){return enabled;} ||| public boolean isEnabled() {return enabled;}
public virtual bool IsSigned(){return signed;} ||| public boolean isSigned() {return signed;}
public virtual DeleteRuleVersionResponse DeleteRuleVersion(DeleteRuleVersionRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteRuleVersionRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteRuleVersionResponseUnmarshaller.Instance;return Invoke<DeleteRuleVersionResponse>(request, options);} ||| public DeleteRuleVersionResult deleteRuleVersion(DeleteRuleVersionRequest request) {request = beforeClientExecution(request);return executeDeleteRuleVersion(request);}
public override long Seek(long ord){throw new NotSupportedException();} ||| public long seek(long ord) {throw new UnsupportedOperationException();}
public CreateAppCookieStickinessPolicyRequest(string loadBalancerName, string policyName, string cookieName){_loadBalancerName = loadBalancerName;_policyName = policyName;_cookieName = cookieName;} ||| public CreateAppCookieStickinessPolicyRequest(String loadBalancerName, String policyName, String cookieName) {setLoadBalancerName(loadBalancerName);setPolicyName(policyName);setCookieName(cookieName);}
public virtual NGit.Api.BlameCommand SetDiffAlgorithm(DiffAlgorithm diffAlgorithm){this.diffAlgorithm = diffAlgorithm;return this;} ||| public BlameCommand setDiffAlgorithm(DiffAlgorithm diffAlgorithm) {this.diffAlgorithm = diffAlgorithm;return this;}
public virtual DisassociateSkillFromUsersResponse DisassociateSkillFromUsers(DisassociateSkillFromUsersRequest request){var options = new InvokeOptions();options.RequestMarshaller = DisassociateSkillFromUsersRequestMarshaller.Instance;options.ResponseUnmarshaller = DisassociateSkillFromUsersResponseUnmarshaller.Instance;return Invoke<DisassociateSkillFromUsersResponse>(request, options);} ||| public DisassociateSkillFromUsersResult disassociateSkillFromUsers(DisassociateSkillFromUsersRequest request) {request = beforeClientExecution(request);return executeDisassociateSkillFromUsers(request);}
public PatchIdDiffFormatter() : base(new DigestOutputStream(NullOutputStream.INSTANCE, Constants.NewMessageDigest())){digest = ((DigestOutputStream)GetOutputStream()).GetMessageDigest();} ||| public PatchIdDiffFormatter() {super(new DigestOutputStream(NullOutputStream.INSTANCE,Constants.newMessageDigest()));digest = ((DigestOutputStream) getOutputStream()).getMessageDigest();}
public virtual SendMessageResponse SendMessage(SendMessageRequest request){var options = new InvokeOptions();options.RequestMarshaller = SendMessageRequestMarshaller.Instance;options.ResponseUnmarshaller = SendMessageResponseUnmarshaller.Instance;return Invoke<SendMessageResponse>(request, options);} ||| public SendMessageResult sendMessage(SendMessageRequest request) {request = beforeClientExecution(request);return executeSendMessage(request);}
public static ParsePathType PathType(FileInfo f){int pathLength = 0;ParsePathType? ppt;if (pathName2Type.TryGetValue(f.Name.ToUpperInvariant(), out ppt) && ppt != null){return ppt.Value;}DirectoryInfo parentDir = f.Directory;while (parentDir != null && ++pathLength < MAX_PATH_LENGTH){if (pathName2Type.TryGetValue(parentDir.Name.ToUpperInvariant(), out ppt) && ppt != null){return ppt.Value;}parentDir = parentDir.Parent;}return DEFAULT_PATH_TYPE;} ||| public static ParsePathType pathType(Path f) {int pathLength = 0;while (f != null && f.getFileName() != null && ++pathLength < MAX_PATH_LENGTH) {ParsePathType ppt = pathName2Type.get(f.getFileName().toString().toUpperCase(Locale.ROOT));if (ppt!=null) {return ppt;}f = f.getParent();}return DEFAULT_PATH_TYPE;}
public static long EstimateIndexSize(int sourceLength){return sourceLength + (sourceLength * 3 / 4);} ||| public static long estimateIndexSize(int sourceLength) {return sourceLength + (sourceLength * 3 / 4);}
public virtual UpdateDashboardPermissionsResponse UpdateDashboardPermissions(UpdateDashboardPermissionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = UpdateDashboardPermissionsRequestMarshaller.Instance;options.ResponseUnmarshaller = UpdateDashboardPermissionsResponseUnmarshaller.Instance;return Invoke<UpdateDashboardPermissionsResponse>(request, options);} ||| public UpdateDashboardPermissionsResult updateDashboardPermissions(UpdateDashboardPermissionsRequest request) {request = beforeClientExecution(request);return executeUpdateDashboardPermissions(request);}
public String FormatAsString(){switch (_cellType){case CellType.Numeric:string result = _numberValue.ToString(CultureInfo.InvariantCulture);return result;case CellType.String:return '"' + _textValue + '"';case CellType.Boolean:return _boolValue ? "TRUE" : "FALSE";case CellType.Error:return ErrorEval.GetText(_errorCode);}return "<error unexpected cell type " + _cellType + ">";} ||| public String formatAsString() {switch (_cellType) {case NUMERIC:return String.valueOf(_numberValue);case STRING:return '"' + _textValue + '"';case BOOLEAN:return _booleanValue ? "TRUE" : "FALSE";case ERROR:return ErrorEval.getText(_errorCode);default:return "<error unexpected cell type " + _cellType + ">";}}
public void Add(RevFlagSet set){flags |= set.mask;} ||| public final void add(RevFlagSet set) {flags |= set.mask;}
public virtual NGit.Transport.URIish SetHost(string n){NGit.Transport.URIish r = new NGit.Transport.URIish(this);r.host = n;return r;} ||| public URIish setHost(String n) {final URIish r = new URIish(this);r.host = n;return r;}
public void ClearFormulaEntry(){CellCacheEntry[] usedCells = _sensitiveInputCells;if (usedCells != null){for (int i = usedCells.Length - 1; i >= 0; i--){usedCells[i].ClearConsumingCell(this);}}_sensitiveInputCells = null;ClearValue();} ||| public void clearFormulaEntry() {CellCacheEntry[] usedCells = _sensitiveInputCells;if (usedCells != null) {for (int i = usedCells.length-1; i>=0; i--) {usedCells[i].clearConsumingCell(this);}}_sensitiveInputCells = null;clearValue();}
public virtual GetDiskSnapshotResponse GetDiskSnapshot(GetDiskSnapshotRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetDiskSnapshotRequestMarshaller.Instance;options.ResponseUnmarshaller = GetDiskSnapshotResponseUnmarshaller.Instance;return Invoke<GetDiskSnapshotResponse>(request, options);} ||| public GetDiskSnapshotResult getDiskSnapshot(GetDiskSnapshotRequest request) {request = beforeClientExecution(request);return executeGetDiskSnapshot(request);}
public virtual DescribeIpv6PoolsResponse DescribeIpv6Pools(DescribeIpv6PoolsRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribeIpv6PoolsRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribeIpv6PoolsResponseUnmarshaller.Instance;return Invoke<DescribeIpv6PoolsResponse>(request, options);} ||| public DescribeIpv6PoolsResult describeIpv6Pools(DescribeIpv6PoolsRequest request) {request = beforeClientExecution(request);return executeDescribeIpv6Pools(request);}
public virtual UpdateDetectorResponse UpdateDetector(UpdateDetectorRequest request){var options = new InvokeOptions();options.RequestMarshaller = UpdateDetectorRequestMarshaller.Instance;options.ResponseUnmarshaller = UpdateDetectorResponseUnmarshaller.Instance;return Invoke<UpdateDetectorResponse>(request, options);} ||| public UpdateDetectorResult updateDetector(UpdateDetectorRequest request) {request = beforeClientExecution(request);return executeUpdateDetector(request);}
public virtual DeleteInstanceResponse DeleteInstance(DeleteInstanceRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteInstanceRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteInstanceResponseUnmarshaller.Instance;return Invoke<DeleteInstanceResponse>(request, options);} ||| public DeleteInstanceResult deleteInstance(DeleteInstanceRequest request) {request = beforeClientExecution(request);return executeDeleteInstance(request);}
public virtual ListThreatIntelSetsResponse ListThreatIntelSets(ListThreatIntelSetsRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListThreatIntelSetsRequestMarshaller.Instance;options.ResponseUnmarshaller = ListThreatIntelSetsResponseUnmarshaller.Instance;return Invoke<ListThreatIntelSetsResponse>(request, options);} ||| public ListThreatIntelSetsResult listThreatIntelSets(ListThreatIntelSetsRequest request) {request = beforeClientExecution(request);return executeListThreatIntelSets(request);}
public virtual ExportClientVpnClientConfigurationResponse ExportClientVpnClientConfiguration(ExportClientVpnClientConfigurationRequest request){var options = new InvokeOptions();options.RequestMarshaller = ExportClientVpnClientConfigurationRequestMarshaller.Instance;options.ResponseUnmarshaller = ExportClientVpnClientConfigurationResponseUnmarshaller.Instance;return Invoke<ExportClientVpnClientConfigurationResponse>(request, options);} ||| public ExportClientVpnClientConfigurationResult exportClientVpnClientConfiguration(ExportClientVpnClientConfigurationRequest request) {request = beforeClientExecution(request);return executeExportClientVpnClientConfiguration(request);}
public override float CurrentScore(int docId, string field, int start, int end, int numPayloadsSeen, float currentScore, float currentPayloadScore){if (numPayloadsSeen == 0){return currentPayloadScore;}else{return Math.Max(currentPayloadScore, currentScore);}} ||| public float currentScore(int docId, String field, int start, int end, int numPayloadsSeen, float currentScore, float currentPayloadScore) {if (numPayloadsSeen == 0) {return currentPayloadScore;} else {return Math.max(currentPayloadScore, currentScore);}}
public CreateDBParameterGroupRequest(string dbParameterGroupName, string dbParameterGroupFamily, string description){_dbParameterGroupName = dbParameterGroupName;_dbParameterGroupFamily = dbParameterGroupFamily;_description = description;} ||| public CreateDBParameterGroupRequest(String dBParameterGroupName, String dBParameterGroupFamily, String description) {setDBParameterGroupName(dBParameterGroupName);setDBParameterGroupFamily(dBParameterGroupFamily);setDescription(description);}
public void Add(int forwardId, int backwardId, int cost){this.costs[backwardId][forwardId] = (short)cost;} ||| public void add(int forwardId, int backwardId, int cost) {int offset = (backwardId * forwardSize + forwardId) * 2;costs.putShort(offset, (short) cost);}
public override bool IsPeeled(){return true;} ||| public boolean isPeeled() {return true;}
public virtual CreateTransitVirtualInterfaceResponse CreateTransitVirtualInterface(CreateTransitVirtualInterfaceRequest request){var options = new InvokeOptions();options.RequestMarshaller = CreateTransitVirtualInterfaceRequestMarshaller.Instance;options.ResponseUnmarshaller = CreateTransitVirtualInterfaceResponseUnmarshaller.Instance;return Invoke<CreateTransitVirtualInterfaceResponse>(request, options);} ||| public CreateTransitVirtualInterfaceResult createTransitVirtualInterface(CreateTransitVirtualInterfaceRequest request) {request = beforeClientExecution(request);return executeCreateTransitVirtualInterface(request);}
public virtual BatchDetectSentimentResponse BatchDetectSentiment(BatchDetectSentimentRequest request){var options = new InvokeOptions();options.RequestMarshaller = BatchDetectSentimentRequestMarshaller.Instance;options.ResponseUnmarshaller = BatchDetectSentimentResponseUnmarshaller.Instance;return Invoke<BatchDetectSentimentResponse>(request, options);} ||| public BatchDetectSentimentResult batchDetectSentiment(BatchDetectSentimentRequest request) {request = beforeClientExecution(request);return executeBatchDetectSentiment(request);}
public override bool Equals(object o){if (!(o is Antlr4.Runtime.Misc.Interval)){return false;}Antlr4.Runtime.Misc.Interval other = (Antlr4.Runtime.Misc.Interval)o;return this.a == other.a && this.b == other.b;} ||| public boolean equals(Object o) {if ( o==null || !(o instanceof Interval) ) {return false;}Interval other = (Interval)o;return this.a==other.a && this.b==other.b;}
public override String ToString(){StringBuilder buffer = new StringBuilder();buffer.Append("[USESELFS]\n");buffer.Append("    .flag            = ").Append(HexDump.ShortToHex(_options)).Append("\n");buffer.Append("[/USESELFS]\n");return buffer.ToString();} ||| public String toString() {StringBuilder buffer = new StringBuilder();buffer.append("[USESELFS]\n");buffer.append("    .options = ").append(HexDump.shortToHex(_options)).append("\n");buffer.append("[/USESELFS]\n");return buffer.toString();}
public virtual SmallDocSet Union(SmallDocSet other){SmallDocSet bigger;SmallDocSet smaller;if (other.intSet.Count > this.intSet.Count){bigger = other;smaller = this;}else{bigger = this;smaller = other;}foreach (int v in smaller.intSet.Keys){if (v == smaller.intSet.EmptyVal){continue;}bigger.Set(v);}return bigger;} ||| public SmallDocSet union(SmallDocSet other) {SmallDocSet bigger;SmallDocSet smaller;if (other.intSet.size() > this.intSet.size()) {bigger = other;smaller = this;} else {bigger = this;smaller = other;}for (int v : smaller.intSet.keys) {if (v == smaller.intSet.emptyVal)continue;bigger.set(v);}return bigger;}
public override bool Equals(object o){if (o is NGit.Diff.Edit){NGit.Diff.Edit e = (NGit.Diff.Edit)o;return this.beginA == e.beginA && this.endA == e.endA && this.beginB == e.beginB&& this.endB == e.endB;}return false;} ||| public boolean equals(Object o) {if (o instanceof Edit) {final Edit e = (Edit) o;return this.beginA == e.beginA && this.endA == e.endA&& this.beginB == e.beginB && this.endB == e.endB;}return false;}
public virtual int GetBigFileThreshold(){return bigFileThreshold;} ||| public int getBigFileThreshold() {return bigFileThreshold;}
public override string ToString(){StringBuilder r = new StringBuilder();r.Append(GetSeverity().ToString().ToLower());r.Append(": at offset ");r.Append(GetOffset());r.Append(": ");r.Append(GetMessage());r.Append("\n");r.Append("  in ");r.Append(GetLineText());return r.ToString();} ||| public String toString() {final StringBuilder r = new StringBuilder();r.append(getSeverity().name().toLowerCase(Locale.ROOT));r.append(": at offset "); r.append(getOffset());r.append(": "); r.append(getMessage());r.append("\n"); r.append("  in "); r.append(getLineText());return r.toString();}
public override java.nio.IntBuffer slice(){return new java.nio.ReadWriteIntArrayBuffer(remaining(), backingArray, offset + _position);} ||| public IntBuffer slice() {return new ReadWriteIntArrayBuffer(remaining(), backingArray, offset + position);}
public virtual DeleteApplicationResponse DeleteApplication(DeleteApplicationRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteApplicationRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteApplicationResponseUnmarshaller.Instance;return Invoke<DeleteApplicationResponse>(request, options);} ||| public DeleteApplicationResult deleteApplication(DeleteApplicationRequest request) {request = beforeClientExecution(request);return executeDeleteApplication(request);}
public TokenOffsetPayloadTokenFilterFactory(IDictionary<string, string> args): base(args){if (args.Count > 0){throw new System.ArgumentException("Unknown parameters: " + args);}} ||| public TokenOffsetPayloadTokenFilterFactory(Map<String,String> args) {super(args);if (!args.isEmpty()) {throw new IllegalArgumentException("Unknown parameters: " + args);}}
public override bool Equals(object o){if (this.GetType() != o.GetType()){return false;}var other = (MultiFunction)o;return JCG.ListEqualityComparer<ValueSource>.Default.Equals(this.m_sources, other.m_sources);} ||| public boolean equals(Object o) {if (this.getClass() != o.getClass()) return false;MultiFunction other = (MultiFunction)o;return this.sources.equals(other.sources);}
public virtual SpanQuery GetSpanQuery(XmlElement e){ISpanQueryBuilder builder;if (!builders.TryGetValue(e.Name, out builder) || builder == null){throw new ParserException("No SpanQueryObjectBuilder defined for node " + e.Name);}return builder.GetSpanQuery(e);} ||| public SpanQuery getSpanQuery(Element e) throws ParserException {SpanQueryBuilder builder = builders.get(e.getNodeName());if (builder == null) {throw new ParserException("No SpanQueryObjectBuilder defined for node " + e.getNodeName());}return builder.getSpanQuery(e);}
public virtual void IncRef(){int rc = refCount.IncrementAndGet();Debug.Assert(rc > 1);} ||| public void incRef() {final int rc = refCount.incrementAndGet();assert rc > 1: "seg=" + info;}
public String formula(){return _formula;} ||| public String formula() {return _formula;}
public T RemoveTop(){T currentTop = top;if (iter.MoveNext()){top = iter.Current;}else{top = default(T);}return currentTop;} ||| public T removeTop() {T currentTop = top;if (iter.hasNext()) {top = iter.next();} else {top = null;}return currentTop;}
public virtual ObjectId GetExpectedOldObjectId(){return expValue;} ||| public ObjectId getExpectedOldObjectId() {return expValue;}
public DefaultPassageFormatter(string preTag, string postTag, string ellipsis, bool escape){if (preTag == null || postTag == null || ellipsis == null){throw new ArgumentException(); }this.m_preTag = preTag;this.m_postTag = postTag;this.m_ellipsis = ellipsis;this.m_escape = escape;} ||| public DefaultPassageFormatter(String preTag, String postTag, String ellipsis, boolean escape) {if (preTag == null || postTag == null || ellipsis == null) {throw new NullPointerException();}this.preTag = preTag;this.postTag = postTag;this.ellipsis = ellipsis;this.escape = escape;}
public virtual UpdateImagePermissionsResponse UpdateImagePermissions(UpdateImagePermissionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = UpdateImagePermissionsRequestMarshaller.Instance;options.ResponseUnmarshaller = UpdateImagePermissionsResponseUnmarshaller.Instance;return Invoke<UpdateImagePermissionsResponse>(request, options);} ||| public UpdateImagePermissionsResult updateImagePermissions(UpdateImagePermissionsRequest request) {request = beforeClientExecution(request);return executeUpdateImagePermissions(request);}
public virtual ListCustomVerificationEmailTemplatesResponse ListCustomVerificationEmailTemplates(ListCustomVerificationEmailTemplatesRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListCustomVerificationEmailTemplatesRequestMarshaller.Instance;options.ResponseUnmarshaller = ListCustomVerificationEmailTemplatesResponseUnmarshaller.Instance;return Invoke<ListCustomVerificationEmailTemplatesResponse>(request, options);} ||| public ListCustomVerificationEmailTemplatesResult listCustomVerificationEmailTemplates(ListCustomVerificationEmailTemplatesRequest request) {request = beforeClientExecution(request);return executeListCustomVerificationEmailTemplates(request);}
public virtual int read(byte[] buffer, int byteOffset, int byteCount){throw new System.NotImplementedException();} ||| public int read(byte[] buffer, int byteOffset, int byteCount) throws IOException {return IoBridge.read(fd, buffer, byteOffset, byteCount);}
public StringCharacterIterator(string value, int location){@string = value;start = 0;end = @string.Length;if (location < 0 || location > end){throw new System.ArgumentException();}offset = location;} ||| public StringCharacterIterator(String value, int location) {string = value;start = 0;end = string.length();if (location < 0 || location > end) {throw new IllegalArgumentException();}offset = location;}
public virtual DeleteQueryLoggingConfigResponse DeleteQueryLoggingConfig(DeleteQueryLoggingConfigRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteQueryLoggingConfigRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteQueryLoggingConfigResponseUnmarshaller.Instance;return Invoke<DeleteQueryLoggingConfigResponse>(request, options);} ||| public DeleteQueryLoggingConfigResult deleteQueryLoggingConfig(DeleteQueryLoggingConfigRequest request) {request = beforeClientExecution(request);return executeDeleteQueryLoggingConfig(request);}
public InvalidPatternException(string message, string pattern) : base(message){this.pattern = pattern;} ||| public InvalidPatternException(String message, String pattern) {super(message);this.pattern = pattern;}
public int ResolveNameXIx(int refIndex, int definedNameIndex){int extBookIndex = _externSheetRecord.GetExtbookIndexFromRefIndex(refIndex);return _externalBookBlocks[extBookIndex].GetNameIx(definedNameIndex);} ||| public int resolveNameXIx(int refIndex, int definedNameIndex) {int extBookIndex = _externSheetRecord.getExtbookIndexFromRefIndex(refIndex);return _externalBookBlocks[extBookIndex].getNameIx(definedNameIndex);}
public override bool Equals(object obj){if (this == obj){return true;}if (!base.Equals(obj)){return false;}if (this.GetType() != obj.GetType()){return false;}FuzzyQuery other = (FuzzyQuery)obj;if (maxEdits != other.maxEdits){return false;}if (prefixLength != other.prefixLength){return false;}if (maxExpansions != other.maxExpansions){return false;}if (transpositions != other.transpositions){return false;}if (term == null){if (other.term != null){return false;}}else if (!term.Equals(other.term)){return false;}return true;} ||| public boolean equals(Object obj) {if (this == obj)return true;if (!super.equals(obj))return false;if (getClass() != obj.getClass())return false;FuzzyQuery other = (FuzzyQuery) obj;if (maxEdits != other.maxEdits)return false;if (prefixLength != other.prefixLength)return false;if (maxExpansions != other.maxExpansions)return false;if (transpositions != other.transpositions)return false;if (term == null) {if (other.term != null)return false;} else if (!term.equals(other.term))return false;return true;}
public virtual Term GetLuceneTerm(string fieldName){return new Term(fieldName, TermText);} ||| public Term getLuceneTerm(String fieldName) {return new Term(fieldName, getTermText());}
public static MessageDigest NewMessageDigest(){try{return MessageDigest.GetInstance(HASH_FUNCTION);}catch (NoSuchAlgorithmException nsae){throw new RuntimeException(MessageFormat.Format(JGitText.Get().requiredHashFunctionNotAvailable, HASH_FUNCTION), nsae);}} ||| public static MessageDigest newMessageDigest() {try {return MessageDigest.getInstance(LONG_HASH_FUNCTION);} catch (NoSuchAlgorithmException nsae) {throw new RuntimeException(MessageFormat.format(LfsText.get().requiredHashFunctionNotAvailable,LONG_HASH_FUNCTION), nsae);}}
public virtual void reset(){lock (@lock){count = 0;}} ||| public void reset() {synchronized (lock) {count = 0;}}
public HyphenationTree(){m_stoplist = new JCG.Dictionary<string, IList<object>>(23); m_classmap = new TernaryTree();m_vspace = new ByteVector();m_vspace.Alloc(1); } ||| public HyphenationTree() {stoplist = new HashMap<>(23); classmap = new TernaryTree();vspace = new ByteVector();vspace.alloc(1); }
public virtual DescribeCollectionResponse DescribeCollection(DescribeCollectionRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribeCollectionRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribeCollectionResponseUnmarshaller.Instance;return Invoke<DescribeCollectionResponse>(request, options);} ||| public DescribeCollectionResult describeCollection(DescribeCollectionRequest request) {request = beforeClientExecution(request);return executeDescribeCollection(request);}
public java.lang.StringBuffer insert(int index, char[] chars){lock (this){insert0(index, chars);return this;}} ||| public synchronized StringBuffer insert(int index, char[] chars) {insert0(index, chars);return this;}
public override void Decode(byte[] blocks, int blocksOffset, long[] values, int valuesOffset, int iterations){for (int i = 0; i < iterations; ++i){long byte0 = blocks[blocksOffset++] & 0xFF;long byte1 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = (byte0 << 2) | ((long)((ulong)byte1 >> 6));long byte2 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte1 & 63) << 4) | ((long)((ulong)byte2 >> 4));long byte3 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte2 & 15) << 6) | ((long)((ulong)byte3 >> 2));long byte4 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte3 & 3) << 8) | byte4;}} ||| public void decode(byte[] blocks, int blocksOffset, long[] values, int valuesOffset, int iterations) {for (int i = 0; i < iterations; ++i) {final long byte0 = blocks[blocksOffset++] & 0xFF;final long byte1 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = (byte0 << 2) | (byte1 >>> 6);final long byte2 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte1 & 63) << 4) | (byte2 >>> 4);final long byte3 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte2 & 15) << 6) | (byte3 >>> 2);final long byte4 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte3 & 3) << 8) | byte4;}}
public GetSearchRequest(): base("cr", "2016-06-07", "GetSearch", "cr", "openAPI"){UriPattern = "/search-delete";Method = MethodType.GET;} ||| public GetSearchRequest() {super("cr", "2016-06-07", "GetSearch", "cr");setUriPattern("/search-delete");setMethod(MethodType.GET);}
public virtual void Consume(){bool skipEofCheck;if (p >= 0){if (fetchedEOF){skipEofCheck = p < tokens.Count - 1;}else{skipEofCheck = p < tokens.Count;}}else{skipEofCheck = false;}if (!skipEofCheck && LA(1) == IntStreamConstants.EOF){throw new InvalidOperationException("cannot consume EOF");}if (Sync(p + 1)){p = AdjustSeekIndex(p + 1);}} ||| public void consume() {boolean skipEofCheck;if (p >= 0) {if (fetchedEOF) {skipEofCheck = p < tokens.size() - 1;}else {skipEofCheck = p < tokens.size();}}else {skipEofCheck = false;}if (!skipEofCheck && LA(1) == EOF) {throw new IllegalStateException("cannot consume EOF");}if (sync(p + 1)) {p = adjustSeekIndex(p + 1);}}
public virtual CharBlockArray Append(string s){int remain = s.Length;int offset = 0;while (remain > 0){if (this.current.length == this.blockSize){AddBlock();}int toCopy = remain;int remainingInBlock = this.blockSize - this.current.length;if (remainingInBlock < toCopy){toCopy = remainingInBlock;}s.CopyTo(offset, this.current.chars, this.current.length, toCopy);offset += toCopy;remain -= toCopy;this.current.length += toCopy;}this.length += s.Length;return this;} ||| public CharBlockArray append(String s) {int remain = s.length();int offset = 0;while (remain > 0) {if (this.current.length == this.blockSize) {addBlock();}int toCopy = remain;int remainingInBlock = this.blockSize - this.current.length;if (remainingInBlock < toCopy) {toCopy = remainingInBlock;}s.getChars(offset, offset + toCopy, this.current.chars, this.current.length);offset += toCopy;remain -= toCopy;this.current.length += toCopy;}this.length += s.length();return this;}
public virtual ConfigureHealthCheckResponse ConfigureHealthCheck(ConfigureHealthCheckRequest request){var options = new InvokeOptions();options.RequestMarshaller = ConfigureHealthCheckRequestMarshaller.Instance;options.ResponseUnmarshaller = ConfigureHealthCheckResponseUnmarshaller.Instance;return Invoke<ConfigureHealthCheckResponse>(request, options);} ||| public ConfigureHealthCheckResult configureHealthCheck(ConfigureHealthCheckRequest request) {request = beforeClientExecution(request);return executeConfigureHealthCheck(request);}
public CommonRoaRequest(string product) : base(product){AcceptFormat = FormatType.JSON;} ||| public CommonRoaRequest(String product) {super(product);setSysAcceptFormat(FormatType.JSON);}
public static int StrLen(char[] a){return StrLen(a, 0);} ||| public static int strlen(char[] a) {return strlen(a, 0);}
public virtual void SetReaderValue(TextReader value){if (!(FieldsData is TextReader)){throw new ArgumentException("cannot change value type from " + FieldsData.GetType().Name + " to TextReader");}FieldsData = value;} ||| public void setReaderValue(Reader value) {if (!(fieldsData instanceof Reader)) {throw new IllegalArgumentException("cannot change value type from " + fieldsData.getClass().getSimpleName() + " to Reader");}fieldsData = value;}
public virtual DeleteUsagePlanResponse DeleteUsagePlan(DeleteUsagePlanRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteUsagePlanRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteUsagePlanResponseUnmarshaller.Instance;return Invoke<DeleteUsagePlanResponse>(request, options);} ||| public DeleteUsagePlanResult deleteUsagePlan(DeleteUsagePlanRequest request) {request = beforeClientExecution(request);return executeDeleteUsagePlan(request);}
public virtual DeleteThreatIntelSetResponse DeleteThreatIntelSet(DeleteThreatIntelSetRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteThreatIntelSetRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteThreatIntelSetResponseUnmarshaller.Instance;return Invoke<DeleteThreatIntelSetResponse>(request, options);} ||| public DeleteThreatIntelSetResult deleteThreatIntelSet(DeleteThreatIntelSetRequest request) {request = beforeClientExecution(request);return executeDeleteThreatIntelSet(request);}
public virtual DescribePlacementGroupsResponse DescribePlacementGroups(DescribePlacementGroupsRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribePlacementGroupsRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribePlacementGroupsResponseUnmarshaller.Instance;return Invoke<DescribePlacementGroupsResponse>(request, options);} ||| public DescribePlacementGroupsResult describePlacementGroups(DescribePlacementGroupsRequest request) {request = beforeClientExecution(request);return executeDescribePlacementGroups(request);}
public virtual EnableAddOnResponse EnableAddOn(EnableAddOnRequest request){var options = new InvokeOptions();options.RequestMarshaller = EnableAddOnRequestMarshaller.Instance;options.ResponseUnmarshaller = EnableAddOnResponseUnmarshaller.Instance;return Invoke<EnableAddOnResponse>(request, options);} ||| public EnableAddOnResult enableAddOn(EnableAddOnRequest request) {request = beforeClientExecution(request);return executeEnableAddOn(request);}
